,day,time,user,message
149,2022-03-02,01:55:08,bestbry210,yyjPog
150,2022-03-02,01:55:08,dcbiscuits,yyjHey yyjHey yyjHey
151,2022-03-02,01:55:09,firebat1989,what up dog yyjHey
152,2022-03-02,01:55:09,realjeffbozos,jUNNY
153,2022-03-02,01:55:10,zay_ih,YAAY
154,2022-03-02,01:55:10,massh0lian,why do you have your suitcases with you?
155,2022-03-02,01:55:10,darkexile1,HYPERS
156,2022-03-02,01:55:10,skysage,yyjHype
157,2022-03-02,01:55:11,sethja2022,phukket
158,2022-03-02,01:55:11,immicahyep,Oig
159,2022-03-02,01:55:13,ashbash159,popopopopoooookety
160,2022-03-02,01:55:13,g_detroit,Hello Jinny yyjHey
161,2022-03-02,01:55:14,at_leisure,yyjHeart yyjHeart yyjHeart
162,2022-03-02,01:55:14,xzenomorf,PHUKET
163,2022-03-02,01:55:14,"zenomorf subscribed at Tier 1. They've subscribed for 6 months, currently on a 5 month streak!",
164,2022-03-02,01:55:14,ben7amn,yyjHype yyjHype yyjHype
165,2022-03-02,01:55:14,ronzert,phuket  POGGERS
166,2022-03-02,01:55:14,neilvegas2,nice
167,2022-03-02,01:55:14,luizownxd,POGGING POGGING
168,2022-03-02,01:55:14,vincentt23,yyjHey 󠀀 󠀀 󠀀
169,2022-03-02,01:55:14,papereatingrock,yyjPog yyjPog yyjPog
170,2022-03-02,01:55:14,strawhatchase,POGGERS
171,2022-03-02,01:55:15,festahhh,yyjHey Jinny!!! yyjL
172,2022-03-02,01:55:16,chriseherrera,yyjPog yyjPog yyjPog yyjPog yyjPog
173,2022-03-02,01:55:16,immicahyep,Pog
174,2022-03-02,01:55:16,arkem232,Fuck it! yyjHype
175,2022-03-02,01:55:17,ben7amn,yyjHype yyjHype
176,2022-03-02,01:55:17,shawayeem,yyjHey ok
177,2022-03-02,01:55:17,whoamongthem,KEKBye <3 KEKBye <3 KEKBye <3
178,2022-03-02,01:55:17,garruku,chubbe1Bois
179,2022-03-02,01:55:17,rhyan_871,tyongJAM
180,2022-03-02,01:55:18,dead_teeth,DANKIES
181,2022-03-02,01:55:19,faildude,DANKIES
182,2022-03-02,01:55:20,ben7amn,yyjHype
183,2022-03-02,01:55:20,vgvirt,why luggage ?? KEKW
184,2022-03-02,01:55:21,sinclair_bear,HappyFluffyTeddy  eeveelHola  🧸  hey dude
185,2022-03-02,01:55:21,sizzlaa,chubbe1ANI
186,2022-03-02,01:55:21,cuttie_pie91,don't u have hotel
187,2022-03-02,01:55:22,tech_irl,yyjHey
188,2022-03-02,01:55:22,sensational7,Good Morning  Jinny
189,2022-03-02,01:55:23,rabtChino is gifting 1 Tier 1 Subs to Jinnytty's community! They've gifted a total of 26 in the channel!,
190,2022-03-02,01:55:23,simonqc36,why the luggage
191,2022-03-02,01:55:23,rabtChino gifted a Tier 1 sub to annoymousa!,
192,2022-03-02,01:55:24,ben7amn,yyjHype yyjHype yyjHype
193,2022-03-02,01:55:24,re_cepcion subscribed at Tier 1.,
194,2022-03-02,01:55:24,nosugar_nocream,yyjHey yyjL yyjHey yyjL
195,2022-03-02,01:55:25,utubesux1,nice
196,2022-03-02,01:55:25,dcbiscuits,fok it
197,2022-03-02,01:55:25,realjeffbozos,YES
198,2022-03-02,01:55:25,nouzen_noir,yo
199,2022-03-02,01:55:26,skysage,WOWERS
200,2022-03-02,01:55:26,gdkyoto,fook it
201,2022-03-02,01:55:27,zay_ih,DANKIES
202,2022-03-02,01:55:27,sinclair_bear,soofloCoffee
203,2022-03-02,01:55:27,tairadono,why u still with yout bags?
204,2022-03-02,01:55:28,jondoni,WOWERS clear sky
205,2022-03-02,01:55:28,garruku,chubbe1Bois 󠀀
206,2022-03-02,01:55:29,sunghoa97828,phukIt
207,2022-03-02,01:55:29,happyfluffyteddy,@sinclair_bear yyjHey
208,2022-03-02,01:55:29,bobo_520_little_brother,DANKIES
209,2022-03-02,01:55:29,mikemorris95,yyjHey
210,2022-03-02,01:55:30,dead_teeth,peepoPopcorn wow
211,2022-03-02,01:55:30,deathgasm94,WOWERS
212,2022-03-02,01:55:30,eonbask,WOWERS
213,2022-03-02,01:55:31,y_exp,chubbe1Bois
214,2022-03-02,01:55:31,garruku,chubbe1Bois
215,2022-03-02,01:55:31,vincentt23,chubbe1PogChamping
